# Compound_CID,SMILES
6442025,CC[C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)S/C=C/NC(=O)C
9690107,C1C=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC=N3)C(=O)O
9577432,CC1=NC2=NC(=NN2C(=C1)SCC3=C(N4[C@@H]([C@@H](C4=O)NC(=O)/C(=N/O[C@@H](C5=CC(=C(C=C5)O)O)C(=O)[O-])/C6=CN=C(S6)N)SC3)C(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+]
9578317,C[C@@H]([C@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)[S@](=O)/C=C/NC(=O)C)O
3037852,C/C(=C\1/[C@H]2CC(=C(N2C1=O)C(=O)O)SCCNC(=O)C)/CO
54486399,CC1=NN(N=N1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O
2650,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
23670895,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=N/O[C@@H](C3=CC(=C(C=C3)O)O)C(=O)O)/C4=CSC(=N4)N)C(=O)[O-])/C=C/CN5C=NC(=CC5=N)N.[Na+]
194965,C[C@H]([C@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCC(=NC)N(C)C)F
6450471,CC([C@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)S/C=C/NC(=O)C)OS(=O)(=O)O
656644,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)S(=O)(=O)[O-])C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N.[Na+]
6537446,CO/N=C(/C1=NSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]45CCC(CC4)(CC5)C(=O)N)C(=O)[O-]
441130,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O
5284529,COC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O
5742832,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/C2=CSC(=N2)N
30699,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CSC3=CC=NC=C3)SC1)C(=O)O
5362114,CC1=NN(N=N1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)OCOC(=O)C(C)(C)C
6249,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C
5282372,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O.O
6536774,CC[N+](C)(C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCF)/C3=NSC(=N3)N)SC1)C(=O)[O-])CC(=O)N
5282242,C1C=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=C\CC(=O)O)/C3=CSC(=N3)N)C(=O)O
23675743,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].O.[Na+]
6410758,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)CSC4=NNN=C4
5487888,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O
9809656,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](N(C3)C)C(=O)N4CC[C@@H](C4)NC(=O)CN=C(N)N)C(=O)O)[C@@H](C)O
441242,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C(C4=CC=C(C=C4)O)C(=O)[O-])OC)OC2)C(=O)[O-].[Na+].[Na+]
9571075,C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O.O.Cl.[Cl-]
23663969,CC1=CC(=O)C(=CN1)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)[O-].[Na+]
135413542,C1CNC[C@@H]1N2CC/C(=C\C3=C(N4[C@@H]([C@@H](C4=O)NC(=O)/C(=N\O)/C5=NSC(=N5)N)SC3)C(=O)O)/C2=O
135398736,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)[O-])NC(=O)/C(=N\OC(C)(C)C(=O)O)/C2=CSC(=[NH+]2)N
23663397,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)CSC[C@H](C(=O)O)N)OC)SC2)C(=O)[O-].[Na+]
23667300,CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)[O-])NC(=O)CC3=CC=CS3.[Na+]
23675312,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CSC3=CC=NC=C3)SC1)C(=O)[O-].[Na+]
17756656,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O.CC1(C[C@@H]1C(=O)N/C(=C\CCCCSC[C@@H](C(=O)O)N)/C(=O)O)C
25058126,C=C1CS[C@@H](N=C1C(=O)O)[C@@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N
